id,city_id,name,marker,coordinates,cable_id
tinocas-canary-islands-spain,16016,"Tinocas, Canary Islands, Spain",measle_white,"<Point><coordinates>-15.487706,28.134371</coordinates></Point>",1666
gimar-canary-islands,16017,"Güimar, Canary Islands",measle_white,"<Point><coordinates>-16.412559,28.310543</coordinates></Point>",1666
jambi-indonesia,9719,"Jambi, Indonesia",measle_white,"<Point><coordinates>103.609991,-1.590029</coordinates></Point>",1832
bratu-prahu-indonesia,16015,"Bratu Prahu, Indonesia",measle_white,"<Point><coordinates>106.547490,-3.079969,0</coordinates></Point>",1833
jakarta-indonesia,3012,"Jakarta, Indonesia",measle_white,"<Point><coordinates>106.827861,-6.171569</coordinates></Point>",1844
tanjung-pakis-indonesia,9095,"Tanjung Pakis, Indonesia",measle_white,"<Point><coordinates>107.120927,-5.981238</coordinates></Point>",1844
tanjung-pandan-indonesia,10687,"Tanjung Pandan, Indonesia",measle_white,"<Point><coordinates>107.662919,-2.767470,0</coordinates></Point>",1844
pontianak-indonesia,8360,"Pontianak, Indonesia",measle_white,"<Point><coordinates>109.335477,-0.027432</coordinates></Point>",1844
batam-indonesia,5862,"Batam, Indonesia",measle_white,"<Point><coordinates>103.962530,1.134677,0</coordinates></Point>",1844
dumai-indonesia,7311,"Dumai, Indonesia",measle_white,"<Point><coordinates>101.447590,1.665634,0</coordinates></Point>",1559
dumai-indonesia,7311,"Dumai, Indonesia",measle_white,"<Point><coordinates>101.447590,1.665634,0</coordinates></Point>",1844
pekanbaru-indonesia,9724,"Pekanbaru, Indonesia",measle_white,"<Point><coordinates>101.450031,0.533310,0</coordinates></Point>",1844
palembang-indonesia,9723,"Palembang, Indonesia",measle_white,"<Point><coordinates>104.757354,-2.991005</coordinates></Point>",1844
bandar-lampung-indonesia,9727,"Bandar Lampung, Indonesia",measle_white,"<Point><coordinates>105.254131,-5.409265</coordinates></Point>",1844
medan-indonesia,5861,"Medan, Indonesia",measle_white,"<Point><coordinates>98.676107,3.752156</coordinates></Point>",1559
medan-indonesia,5861,"Medan, Indonesia",measle_white,"<Point><coordinates>98.676107,3.752156</coordinates></Point>",1844
bandar-bukit-tinggi-malaysia,14269,"Bandar Bukit Tinggi, Malaysia",measle_white,"<Point><coordinates>101.436750,3.009286,0</coordinates></Point>",1844
